company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap
Sleep Number,982,0,2184.9,153.7,5388,Retailing,Minneapolis,MN,no,no,yes,yes,,Shelly R. Ibach,https://www.sleepnumber.com,SNBR,1123.7
HNI,983,0,2184.4,59.8,8000,Household Products,Muscatine,IA,no,no,no,yes,,Jeffrey D. Lorenger,https://www.hnicorp.com,HNI,1568.7
Pure Storage,984,0,2180.8,-143.3,4200,Technology,Mountain View,CA,no,no,no,no,,Charles H. Giancarlo,https://www.purestorage.com,PSTG,10238
TrueBlue,985,0,2173.6,61.6,6400,Business Services,Tacoma,WA,no,no,no,yes,,Steven C. Cooper,https://www.trueblue.com,TBI,995.6
Party City Holdco,986,0,2171.1,-6.5,11450,Retailing,Elmsford,NY,no,no,no,no,,Brad Weston,https://www.partycity.com,PRTY,402.6
Dun & Bradstreet Holdings,987,0,2165.6,-71.7,6296,Business Services,Jacksonville,FL,no,no,no,no,,Anthony M. Jabbour,https://www.dnb.com,DNB,7554
Dropbox,988,0,2157.9,335.8,2667,Technology,San Francisco,CA,no,yes,no,yes,,Andrew W. Houston,https://www.dropbox.com,DBX,8873.5
New Jersey Resources,989,0,2156.6,117.9,1251,Energy,Wall,NJ,no,no,no,yes,,Stephen D. Westhoven,https://www.njresources.com,NJR,4405.4
Acushnet Holdings,990,0,2147.9,178.9,6500,"Hotels, Restaurants & Leisure",Fairhaven,MA,no,no,no,yes,,David Maher,https://www.acushnetholdingscorp.com,GOLF,2914
Harsco,991,0,2147,-3.2,12000,Business Services,Camp Hill,PA,no,no,no,no,,F. Nicholas Grasberger III,https://www.harsco.com,HSC,969.7
Beazer Homes USA,992,0,2140.3,122,1052,Engineering & Construction,Atlanta,GA,no,no,no,yes,,Allan P. Merrill,https://www.beazer.com,BZH,478.8
Chemed,993,0,2139.3,268.6,14137,Health Care,Cincinnati,OH,no,no,no,yes,,Kevin J. McNamara,https://www.chemed.com,CHE,7592.5
Genesis Energy,994,0,2125.5,-165.1,1898,Energy,Houston,TX,no,no,no,no,,Grant E. Sims,https://www.genesisenergy.com,GEL,1435.4
BWX Technologies,995,0,2124.1,305.9,6600,Aerospace & Defense,Lynchburg,VA,no,no,no,yes,,Rex D. Geveden,https://www.bwxt.com,BWXT,4925.6
Vizio Holding,996,0,2124,-39.4,800,Industrials,Irvine,CA,no,yes,no,no,,William W. Wang,https://www.vizio.com,VZIO,1705.1
1-800-Flowers.com,997,0,2122.2,118.7,4800,Retailing,Jericho,NY,no,no,no,yes,,Christopher G. McCann,https://www.1800flowers.com,FLWS,830
Cowen,998,0,2112.8,295.6,1534,Financials,New York,NY,no,no,no,yes,,Jeffrey Solomon,https://www.cowen.com,COWN,1078
Ashland,999,0,2111,220,4100,Chemicals,Wilmington,DE,no,no,no,yes,,Guillermo Novo,https://www.ashland.com,ASH,5601.9
DocuSign,1000,0,2107.2,-70,7461,Technology,San Francisco,CA,no,no,no,no,,Allan C. Thygesen,https://www.docusign.com,DOCU,21302.8
